year,group_month,average_per_month
2012,2023-01-01,40.442377875014024
2012,2023-02-01,43.42136303748952
2012,2023-03-01,37.85487087727171
2012,2023-04-01,36.10796127536232
2012,2023-05-01,34.6727103610675
2012,2023-06-01,32.56348000463661
2012,2023-07-01,32.357618418104416
2012,2023-08-01,32.25269790147009
2012,2023-09-01,33.33481638090825
2012,2023-10-01,36.309978134110786
2012,2023-11-01,39.43695153980244
2012,2023-12-01,40.1927726558995
2013,2023-01-01,41.995129804450436
2013,2023-02-01,42.05068977187265
2013,2023-03-01,40.82300661805945
2013,2023-04-01,36.529194777946145
2013,2023-05-01,33.35355172027345
2013,2023-06-01,31.74119360836723
2013,2023-07-01,32.42992441463969
2013,2023-08-01,31.52046727191213
2013,2023-09-01,33.091623695803385
2013,2023-10-01,34.50803393817204
2013,2023-11-01,38.832091119601714
2013,2023-12-01,38.512344920385736
2014,2023-01-01,39.65573525115182
2014,2023-02-01,38.9826943236865
2014,2023-03-01,36.65123057897695
2014,2023-04-01,33.60955891203704
2014,2023-05-01,32.011560161326464
2014,2023-06-01,31.163045075318657
2014,2023-07-01,31.209741888237946
2014,2023-08-01,29.966023297491038
2014,2023-09-01,32.465041666666664
2014,2023-10-01,33.610220415030845
2014,2023-11-01,36.65640801308258
2014,2023-12-01,37.442217107484524
2015,2023-01-01,38.81232784498208
2015,2023-02-01,39.278776785714285
2015,2023-03-01,36.23031955645161
2015,2023-04-01,32.02126533919889
2015,2023-05-01,29.972504928315413
2015,2023-06-01,29.67208230119227
2015,2023-07-01,29.178527158376216
2015,2023-08-01,28.914745014564193
2015,2023-09-01,30.773318708034267
2015,2023-10-01,33.39255119874524
2015,2023-11-01,34.85179618648994
2015,2023-12-01,33.61803253674408
2016,2023-01-01,36.581681026581116
2016,2023-02-01,36.61770366818509
2016,2023-03-01,35.199756190476194
2016,2023-04-01,31.9916416251881
2016,2023-05-01,28.60692013888889
2016,2023-06-01,29.064562724429514
2016,2023-07-01,27.7038895609319
2016,2023-08-01,27.392842181899642
2016,2023-09-01,29.1150827743172
2016,2023-10-01,32.4826553463349
2016,2023-11-01,37.15957278517661
2016,2023-12-01,36.38726575311693
2017,2023-01-01,39.34209912142374
2017,2023-02-01,36.61507143743024
2017,2023-03-01,33.39877900985663
2017,2023-04-01,29.731848196683288
2017,2023-05-01,28.675732130853685
2017,2023-06-01,27.746688940359004
2017,2023-07-01,27.21403696236559
2017,2023-08-01,27.113151433691755
2017,2023-09-01,28.916657407407406
2017,2023-10-01,30.928392044817926
2017,2023-11-01,36.12388561826399
2017,2023-12-01,36.53006911616445
2018,2023-01-01,36.529453741039426
2018,2023-02-01,37.247774801587305
2018,2023-03-01,35.88227098294434
2018,2023-04-01,31.002622062738745
2018,2023-05-01,27.568692652329748
2018,2023-06-01,27.197676586382585
2018,2023-07-01,27.53787802419355
2018,2023-08-01,27.254267809139783
2018,2023-09-01,28.02390485009839
2018,2023-10-01,30.843116599462366
2018,2023-11-01,34.15907887951242
2018,2023-12-01,34.286674285714284
2019,2023-01-01,36.90213349024882
2019,2023-02-01,34.220816592261905
2019,2023-03-01,31.687155353942654
2019,2023-04-01,29.53992974537037
2019,2023-05-01,27.687786738351253
2019,2023-06-01,26.64074525462963
2019,2023-07-01,27.047547715053764
2019,2023-08-01,25.99041552767197
2019,2023-09-01,27.436099189814815
2019,2023-10-01,31.17435039766999
2019,2023-11-01,34.99617122018986
2019,2023-12-01,34.00740874742386
2020,2023-01-01,34.19138060035842
2020,2023-02-01,32.98654011015326
2020,2023-03-01,30.665017249103943
2020,2023-04-01,24.23375625
2020,2023-05-01,22.70540781810036
2020,2023-06-01,24.078357407407406
2020,2023-07-01,25.16807123655914
2020,2023-08-01,25.434542562724015
2020,2023-09-01,27.09907349537037
2020,2023-10-01,30.00235450268817
2020,2023-11-01,31.406716435185185
2020,2023-12-01,33.45290332698555
2021,2023-01-01,34.849346145226356
2021,2023-02-01,32.9426769593254
2021,2023-03-01,30.891261229976475
2021,2023-04-01,28.909741087962963
2021,2023-05-01,27.732568836115156
2021,2023-06-01,26.11462650462963
2021,2023-07-01,26.573956258411844
2021,2023-08-01,25.86489661738351
2021,2023-09-01,27.274031828703702
2021,2023-10-01,28.604422827060933
2021,2023-11-01,32.989962731481484
2021,2023-12-01,33.79852514842612
2022,2023-01-01,34.596895049283155
2022,2023-02-01,31.904760912698414
2022,2023-03-01,30.982895833333334
2022,2023-04-01,28.615608796296296
2022,2023-05-01,28.00807504480287
2022,2023-06-01,27.220512277044243
2022,2023-07-01,27.605540891776833
2022,2023-08-01,26.733707688859
2022,2023-09-01,28.634576312434813
2022,2023-10-01,28.67696835016835
2022,2023-11-01,32.15880632823366
2022,2023-12-01,33.44099641496751
